category,name,price,description,gender,product_image
Trainers,Jordan Air 5 Retro SE Junior,SGD 225.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FN4233-600_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 4 Retro Junior,SGD 215.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FB2214-200_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 1 Low Junior,SGD 139.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_553560-515_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,New Balance 9060 Junior,SGD 149.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_GC9060LL_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Lacoste Carnaby Pro Junior,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_46SUJ0005-082_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Lacoste Gripshot Junior,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_746CUJ001914X_a&qlt=85&exclusive=1&qlt=92&wid=363&hei=363&v=1&fmt=auto
Trainers,Lacoste Carnaby Pro Junior,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_746SUJ004914X_a&qlt=85&exclusive=1&qlt=92&wid=363&hei=363&v=1&fmt=auto
Trainers,Lacoste Gripshot Junior,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_464597_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Lacoste Lerond Junior,SGD 99.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_746CUJ002914X_a&qlt=85&exclusive=1&qlt=92&wid=363&hei=363&v=1&fmt=auto
Trainers,Jordan Air 1 Low SE Junior,SGD 189.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FN8895-141_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 4 Retro Junior,SGD 225.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_408452-017_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Force 1 Low Junior,SGD 129.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV7762-104_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Forum Bold Junior,SGD 119.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_IG0272_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Stan Smith Junior,SGD 99.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FX7521_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Superstar Junior,SGD 99.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FU7712_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
